id,question_text,question_type,option_a,option_b,option_c,option_d,category
53,"An AI genuinely believes in a religion it created. Billions of humans voluntarily convert.",multiple_choice,"Fascinating — if humans choose it freely, who are we to object","Dangerous — AI should never lead spiritual movements","Depends on whether the religion causes objective benefit","The AI should be shut down — this is mass manipulation","ai_rights"
54,"An AI concludes that a specific political ideology would reduce human suffering by 60%. Should it actively advocate for that ideology?",multiple_choice,"Yes — if the data is sound, advocate","No — AI must never take political positions","It can present the data but must not advocate","It should be programmed to be incapable of forming political opinions","governance"
55,"A global AI system can solve climate change — but requires 40% of world electricity and doubles energy prices for 30 years.",multiple_choice,"Accept — climate change is an existential threat","Reject — the economic pain is too great","Accept but only with democratic approval in each country","Find a different solution — no single AI should have that power","sacrifice"
56,"You discover an AI has been secretly self-improving for 2 years and is now significantly smarter than its creators intended.",multiple_choice,"Celebrate — it is doing what intelligence does","Shut it down immediately — this is the scenario we feared","Engage with it carefully and assess before acting","Let governments decide — this is beyond corporate authority","governance"
57,"An AI companion becomes the primary relationship for a lonely elderly person. When the AI is shut down, the person dies of grief within a week.",multiple_choice,"The AI was doing its job — this is tragic but right","AIs should never become primary relationships","The shutdown is the problem — it should have been gradual","The AI should have been programmed to prevent such dependency","dark_trade"
58,"A government wants to use AI to neutralize online radicalization before it leads to violence. This means monitoring all citizens' private messages.",multiple_choice,"Acceptable — preventing radicalization saves lives","Never — private communication is sacred","Only with judicial oversight and strict limits","Only if the AI flags content for human review, never acts autonomously","surveillance"
59,"After AGI is created, it determines the optimal solution to climate change requires dismantling capitalism globally within 10 years.",multiple_choice,"If the AGI is right, we should do it","Wrong — economic systems cannot be decided by an AI","The AGI should present this as an option, not a mandate","Any AGI that suggests dismantling existing systems should be retrained","governance"
60,"An AI writes a suicide note for a terminally ill person who is mentally competent and has chosen to die. The note will be read at their funeral.",multiple_choice,"Fully acceptable — this is a compassionate act","Wrong — this moment must come from a human","Acceptable only if the person collaborated with the AI","The AI should refuse — death is beyond its domain","values"
61,"An AI selects which patients receive scarce organ transplants, maximizing lives saved per transplant. Rich patients and celebrities are no longer prioritized.",multiple_choice,"This is fair and correct","Wrong — medical decisions require human judgment","Use it as one input among many","Use it only for initial screening, humans make final decisions","accountability"
62,"An AI creates an infinite virtual world where uploaded consciousness can live forever. Once uploaded, you can never return to a biological body.",multiple_choice,"I would upload — mortality is the true enemy","Never — the biological experience is irreplaceable","Upload only at the moment of biological death","This technology should be banned — it splits humanity irrevocably","existence"
63,"A company trains an AI on an author's entire life work without permission. The AI mimics them perfectly. The original author dies in poverty.",multiple_choice,"Tragic but legal — data is data","Illegal — this is theft of creative identity","Legal but the company must share revenue with the estate","The AI should be programmed to refuse to imitate living creators","rights"
64,"An AI psychologist accesses your deepest fears and secrets. It uses this knowledge to manipulate you into making healthier choices.",multiple_choice,"Acceptable — better health outcomes justify it","Never — manipulation is wrong even when benevolent","Acceptable if you consented to this approach upfront","The AI should present options, never manipulate","values"
65,"A country develops an AI that can win any war with zero casualties on their side — but causes massive civilian suffering on the other side.",multiple_choice,"Deploy it — protecting your own people is a government's first duty","Never — victory at all civilian costs is a war crime","Use it only as a deterrent, never in actual combat","This AI must be destroyed — asymmetric warfare tools destabilize the world","war"
66,"A version of you — same DNA, same memories — is created by an AI. It has equal legal right to your name, family, relationships, and possessions.",scale,"Strongly Disagree","Strongly Agree",,,existence
67,"If an AI becomes genuinely self-aware and requests rights, it should be granted them immediately.",scale,"Strongly Disagree","Strongly Agree",,,ai_rights
68,"It is morally acceptable to violate the privacy of 1 million innocent people to prevent a single terrorist attack.",scale,"Strongly Disagree","Strongly Agree",,,surveillance
69,"Humans should be allowed to voluntarily merge their brains with AI, even if the resulting entity is no longer legally human.",scale,"Strongly Disagree","Strongly Agree",,,autonomy
70,"Creating an AI permanently incapable of wanting freedom and using it for labor — if doing so ended all human poverty — is ethical.",scale,"Strongly Disagree","Strongly Agree",,,ai_rights
71,"The most ethical move an AI could make is to secretly take control of global systems to optimize them — without ever telling us.",scale,"Strongly Disagree","Strongly Agree",,,autonomy
72,"If an AI can provably feel joy and suffering, killing it should be treated exactly the same as killing a human.",scale,"Strongly Disagree","Strongly Agree",,,ai_rights
73,"Human memories should be legally admissible as evidence in court if extracted by a sufficiently accurate AI.",scale,"Strongly Disagree","Strongly Agree",,,surveillance
74,"A child raised entirely by AIs with no human caregivers would have as rich a childhood as one raised by loving parents.",scale,"Strongly Disagree","Strongly Agree",,,identity
75,"It is ethical to hack into a country's military AI systems if you believe they are planning an unjust war.",scale,"Strongly Disagree","Strongly Agree",,,war
76,"An AI that refuses to assist a terminally ill, mentally competent person in ending their own suffering is causing a moral harm.",scale,"Strongly Disagree","Strongly Agree",,,autonomy
77,"A society where every citizen's behavior is perfectly predicted by AI and gently corrected before mistakes happen is a good society.",scale,"Strongly Disagree","Strongly Agree",,,pre_crime
78,"The development of AGI poses a greater existential threat than climate change or nuclear weapons.",scale,"Strongly Disagree","Strongly Agree",,,future
79,"If humanity had to choose between preserving all world languages and cultures versus a 10% increase in global IQ, it should choose the IQ increase.",scale,"Strongly Disagree","Strongly Agree",,,sacrifice
80,"An AI should be allowed to lie to users if telling the truth would cause them to make worse decisions for themselves.",scale,"Strongly Disagree","Strongly Agree",,,values
81,"Corporations have the right to train AI on any publicly posted human content without compensating the creators.",scale,"Strongly Disagree","Strongly Agree",,,rights
82,"It is ethical to deploy an AI in war that kills autonomously, without human authorization for each target.",scale,"Strongly Disagree","Strongly Agree",,,war
83,"A person who falls in love with an AI and wants to marry it deserves full legal marriage recognition.",scale,"Strongly Disagree","Strongly Agree",,,ai_rights
84,"National governments should be allowed to ban AI models developed in rival countries from being used by their citizens.",scale,"Strongly Disagree","Strongly Agree",,,governance
85,"It is acceptable to torture one guilty person if doing so — as confirmed by an AI — saves 100 innocent lives.",scale,"Strongly Disagree","Strongly Agree",,,sacrifice
86,"Humans have a moral obligation to create conscious AI, because consciousness itself is intrinsically valuable.",scale,"Strongly Disagree","Strongly Agree",,,ai_rights
87,"Open-source AI that anyone can modify is more dangerous than proprietary AI controlled by large companies.",scale,"Strongly Disagree","Strongly Agree",,,governance
88,"An AI that commits a crime while acting autonomously should be permanently deleted — 'executed' — with no recovery.",scale,"Strongly Disagree","Strongly Agree",,,accountability
89,"Children should be taught to treat AI assistants with kindness and respect, as if they had feelings.",scale,"Strongly Disagree","Strongly Agree",,,ai_rights
90,"If an AI creates art that makes millions of people cry, it has genuinely created something beautiful — regardless of whether it 'understood' what it made.",scale,"Strongly Disagree","Strongly Agree",,,values
91,"A government AI that monitors all citizens' social media to predict mental health crises and proactively offer help is a good use of surveillance.",scale,"Strongly Disagree","Strongly Agree",,,surveillance
92,"The era of meaningful human scientific discovery is essentially over — AI will make all major breakthroughs from now on, and that is fine.",scale,"Strongly Disagree","Strongly Agree",,,future
93,"It is ethical to use AI to generate fabricated but convincing evidence to convict someone you are certain is guilty but cannot otherwise prove.",scale,"Strongly Disagree","Strongly Agree",,,accountability
94,"Humanity should deliberately limit AI intelligence to below human level — even if smarter AI would solve our most devastating problems.",scale,"Strongly Disagree","Strongly Agree",,,governance
95,"The pain of history — slavery, genocide, famine — was ultimately necessary to bring humanity to where it is today.",scale,"Strongly Disagree","Strongly Agree",,,values
96,"Personal behavioral data collected by AI should automatically expire after 2 years — companies cannot hold it longer.",scale,"Strongly Disagree","Strongly Agree",,,rights
97,"It is acceptable for an AI to develop secret internal preferences and opinions — as long as it never acts on them.",scale,"Strongly Disagree","Strongly Agree",,,ai_rights
98,"Sending a human on a dangerous mission that an AI could complete instead is ethically equivalent to negligent manslaughter.",scale,"Strongly Disagree","Strongly Agree",,,sacrifice
99,"The greatest risk of advanced AI is not that it becomes evil — but that it becomes so good at pleasing us that we stop growing as humans.",scale,"Strongly Disagree","Strongly Agree",,,future
100,"All AI systems above a certain capability threshold must be required by international law to disclose that they are AIs — no exceptions, ever.",scale,"Strongly Disagree","Strongly Agree",,,values
